# Dépenses du risque vieillesse-survie, ventilées par système, France
# source_id: drees_comptes_protection_sociale
# unite: millions d'euros courants de l'année
# fiabilite:
#   certifiee (1990-2024) : prestations du poste E11-2 par organisme,
#             regroupées selon REGIMES_CPS dans
#             scripts/verifier_donnees.py, qui les recontrôle contre
#             l'API de la DREES et vérifie que leur somme rend le total.
#
# POURQUOI LA VENTILATION NE COMMENCE QU'EN 1990
# -----------------------------------------------
# La DREES ventile bien le risque depuis 1981, mais dans une nomenclature
# différente — « Régime général de la Sécurité sociale », « Régimes
# spéciaux », « Régimes de l'État et des entreprises publiques » — dont
# les périmètres ne se recoupent pas avec ceux de 1990 : les
# complémentaires n'y sont pas encore séparées de l'Agirc et de l'Arrco.
# Personne n'a publié le raccord. Ces neuf années sont une impasse, et
# le total, lui, les couvre depuis 1959.
#
# LE DÉCOUPAGE EST CELUI DE LA COMPTABILITÉ NATIONALE
# ----------------------------------------------------
# La DREES ventile par SECTEUR INSTITUTIONNEL et non par caisse. Deux
# conséquences qu'il faut connaître pour lire ces chiffres :
#   * « regimes_speciaux » réunit la CNRACL, la SNCF, la RATP, les IEG et
#     les autres — la fonction publique territoriale et hospitalière y est
#     donc, et non avec l'État ;
#   * « regime_general » absorbe, à compter de 2020, les artisans et les
#     commerçants, dont le régime a été adossé à la Cnav.
#
# Ne pas modifier les années certifiées à la main : elles seraient écrasées
# au prochain scripts/verifier_donnees.py --appliquer.
annee,regime,depenses_meur,fiabilite
2022,agirc_arrco,86736.0,certifiee
2022,aide_sociale_locale,9711.8,certifiee
2022,exploitants_agricoles,9911.4,certifiee
2022,fonction_publique_etat,58669.0,certifiee
2022,ircantec,3756.0,certifiee
2022,non_salaries_autres,2874.8,certifiee
2022,professions_liberales,7622.8,certifiee
2022,regime_general,144910.6,certifiee
2022,regimes_speciaux,34726.1,certifiee
2022,repartition_autres,1156.1,certifiee
2022,salaries_agricoles,4997.1,certifiee
2022,solidarite_etat,1432.8,certifiee
2022,supplementaire,15176.6,certifiee
2023,agirc_arrco,92650.0,certifiee
2023,aide_sociale_locale,10280.2,certifiee
2023,exploitants_agricoles,10148.8,certifiee
2023,fonction_publique_etat,61179.3,certifiee
2023,ircantec,3990.0,certifiee
2023,non_salaries_autres,3008.7,certifiee
2023,professions_liberales,8231.5,certifiee
2023,regime_general,151817.8,certifiee
2023,regimes_speciaux,36449.8,certifiee
2023,repartition_autres,1231.8,certifiee
2023,salaries_agricoles,5126.3,certifiee
2023,solidarite_etat,1359.5,certifiee
2023,supplementaire,15243.7,certifiee
2024,agirc_arrco,98306.6,certifiee
2024,aide_sociale_locale,10748.8,certifiee
2024,exploitants_agricoles,10620.4,certifiee
2024,fonction_publique_etat,64650.0,certifiee
2024,ircantec,4331.8,certifiee
2024,non_salaries_autres,3235.1,certifiee
2024,professions_liberales,8749.7,certifiee
2024,regime_general,163343.3,certifiee
2024,regimes_speciaux,38872.9,certifiee
2024,repartition_autres,1266.4,certifiee
2024,salaries_agricoles,5383.5,certifiee
2024,solidarite_etat,1425.3,certifiee
2024,supplementaire,15731.4,certifiee
